StartDate,EndDate,Progress,Duration (in seconds),Finished,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_9_TEXT,Q4,Q4_5_TEXT,Q5,Q5_6_TEXT,Q5_7_TEXT,Q6,Q7,Q7_9_TEXT,Q8,Q9,Q9_9_TEXT,Q10,Q11,Q11_6_TEXT,Q12,Q12_6_TEXT,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
4/11/25 15:24,4/11/25 15:26,100,121,TRUE,,,,,42.3427,-71.0922,anonymous,EN,Under 18,Male,"Computer Science/IT,Engineering,Arts/Design,Health Sciences",,"Graduate student,Faculty",,On campus,,,No knowledge,"ChatGPT,Claude,Midjourney,Stable Diffusion",,,"Academic research,Writing assistance,Programming/coding,Professional work",,,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Time constraints",,Hybrid (mix of online and in-person),,Weekday afternoons,,6 or more,,,,,,,,,,,
4/11/25 15:33,4/11/25 15:36,100,176,TRUE,,,,,42.3427,-71.0922,anonymous,EN,Under 18,Male,"Engineering,Business/Management,Arts/Design,Health Sciences",,Graduate student,,Within Boston city limits,,,No knowledge,Midjourney,,Never,Creative projects,,Not interested,Personal interest,,Time constraints,,Hybrid (mix of online and in-person),1 hour,"Weekday afternoons,Weekday evenings,Weekend afternoons","Yes, definitely",6 or more,,,,,,,,,,,
4/11/25 15:40,4/11/25 15:45,100,323,TRUE,,,,,42.3364,-71.0326,anonymous,EN,Under 18,Female,"Computer Science/IT,Engineering",,Graduate student,,On campus,,,No knowledge,"ChatGPT,Claude,Midjourney,DALL-E,Stable Diffusion,GitHub Copilot,AI music generation tools,AI video generation tools",,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,Time constraints,,Online only,,"Weekend mornings,Weekend afternoons","Yes, definitely",5-Apr,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"
Sentimental AI"
4/11/25 15:40,4/11/25 15:46,100,370,TRUE,,,,,43.6598,-70.2547,anonymous,EN,,Male,Computer Science/IT,,Graduate student,,New England (outside Massachusetts),,,,"ChatGPT,Claude,Midjourney,Stable Diffusion,GitHub Copilot,AI video generation tools",,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Time constraints,Lack of prerequisites,Scheduling conflicts",,Online only,1 hour,Weekday evenings,"Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"model finetune, MCP"
4/11/25 15:37,4/11/25 15:46,100,548,TRUE,,,,,42.3364,-71.0326,anonymous,EN,Under 18,Male,"Computer Science/IT,Engineering",,Graduate student,,Within Boston city limits,,,No knowledge,"ChatGPT,Claude,DALL-E,Stable Diffusion,GitHub Copilot,AI music generation tools,AI video generation tools",,Never,"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Not interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints,Location/transportation",,No preference,1 hour,"Weekday afternoons,Weekday evenings,Weekend afternoons","Yes, definitely",6 or more,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,
4/11/25 15:49,4/11/25 15:50,100,72,TRUE,,,,,42.3427,-71.0922,anonymous,EN,45 - 54,Male,"Engineering,Arts/Design",,Faculty,,Massachusetts (outside Greater Boston),,,Some experience,Midjourney,,Occasionally (few times a week),"Writing assistance,Creative projects,Personal organization,Professional work",,Extremely interested,"Personal interest,Staying current with technology",,Lack of prerequisites,,Hybrid (mix of online and in-person),2 hours,Weekday evenings,Unsure,6 or more,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,
4/11/25 15:54,4/11/25 15:55,100,85,TRUE,,,,,42.3427,-71.0922,anonymous,EN,45 - 54,Male,"Arts/Design,Health Sciences",,Faculty,,Greater Boston area (within 20 miles),,,Some experience,"Stable Diffusion,AI music generation tools",,Occasionally (few times a week),"Writing assistance,Creative projects,Professional work",,Extremely interested,"Personal interest,Staying current with technology",,Lack of prerequisites,,Hybrid (mix of online and in-person),1.5 hours,"Weekday afternoons,Weekday evenings,Weekend afternoons","Yes, definitely",6 or more,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,
4/11/25 15:55,4/11/25 16:00,100,315,TRUE,,,,,41.8825,-87.7185,anonymous,EN,65 - 74,Female,Arts/Design,,Faculty,,Other U.S. location,Remote,,Some experience,"ChatGPT,Claude,Midjourney,DALL-E,AI music generation tools,AI video generation tools",,Extensively (multiple times daily),"Academic research,Writing assistance,Creative projects,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints,Lack of prerequisites",,Online only,1.5 hours,"Weekday mornings,Weekend mornings,Weekend afternoons","Yes, definitely",5-Apr,Extremely interested,Extremely interested,Extremely interested,Very interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Moderately interested,Personal Branding 
4/11/25 16:09,4/11/25 16:12,100,179,TRUE,,,,,24.6869,46.7224,anonymous,EN,55 - 64,Female,Health Sciences,,Professional,,Massachusetts (outside Greater Boston),,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/25 16:28,4/11/25 16:32,100,225,TRUE,,,,,42.2904,-71.0712,anonymous,EN,25 - 34,Male,"Computer Science/IT,Engineering",,Graduate student,,Within Boston city limits,,,Intermediate knowledge,"ChatGPT,Claude,DALL-E,GitHub Copilot",,Regularly (daily),"Academic research,Writing assistance,Programming/coding,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Time constraints,Lack of prerequisites",,In-person only,2 hours,Weekend afternoons,"Yes, definitely",5-Apr,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Build AI RAG Agent
4/11/25 16:44,4/11/25 17:03,100,1150,TRUE,,,,,44.7499,-93.2081,anonymous,EN,35 - 44,Male,"Computer Science/IT,Business/Management,Social Sciences",,Faculty,,Other U.S. location,MN,,Basic awareness,"GitHub Copilot,Other: [text entry]",Browser search engines,Occasionally (few times a week),"Professional work,Learning new topics",,Moderately interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Location/transportation,Lack of prerequisites",,Hybrid (mix of online and in-person),2 hours,"Weekday afternoons,Weekday evenings",Probably,3-Feb,Very interested,Moderately interested,Slightly interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Slightly interested,Moderately interested,"None. Most were covered from image and sound generation from prompts, study and course guides as well as workflow automation. Improving/developing AI to AI communication could be possibly interesting as well, whatever that looks like or entails."
4/11/25 17:07,4/11/25 17:11,100,216,TRUE,,,,,42.2904,-71.0712,anonymous,EN,25 - 34,Female,Business/Management,,Graduate student,,Within Boston city limits,,,Basic awareness,"ChatGPT,GitHub Copilot",,Occasionally (few times a week),Writing assistance,,Extremely interested,"Career advancement,Staying current with technology",,"Cost,Scheduling conflicts",,No preference,1.5 hours,Weekday afternoons,"Yes, definitely",6 or more,Moderately interested,Not interested,Not interested,Very interested,Moderately interested,Not interested,Not interested,Not interested,Not interested,Not interested,AI for project managers 
4/11/25 17:19,4/11/25 17:22,100,185,TRUE,,,,,42.2904,-71.0712,anonymous,EN,25 - 34,Female,"Computer Science/IT,Engineering",,Graduate student,,Within Boston city limits,,,Some experience,"ChatGPT,Claude,Midjourney,DALL-E,GitHub Copilot",,Regularly (daily),"Programming/coding,Creative projects,Professional work,Learning new topics",,Extremely interested,"Career advancement,Personal interest,Staying current with technology",,Cost,,Hybrid (mix of online and in-person),2.5+ hours,"Weekday mornings,Weekday afternoons,Weekday evenings,Weekend afternoons","Yes, definitely",6 or more,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,LLM's 
4/11/25 17:28,4/11/25 17:30,100,135,TRUE,,,,,42.2904,-71.0712,anonymous,EN,18 - 24,Male,Engineering,,Graduate student,,Within Boston city limits,,,Some experience,"ChatGPT,Claude,GitHub Copilot,AI video generation tools",,Regularly (daily),"Academic research,Programming/coding,Creative projects,Professional work,Learning new topics",,Extremely interested,"Career advancement,Personal interest,Staying current with technology,Specific project needs",,Lack of prerequisites,,Online only,1.5 hours,"Weekday afternoons,Weekday evenings","Yes, definitely",3-Feb,Moderately interested,Moderately interested,Very interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Extremely interested,
4/11/25 17:41,4/11/25 17:43,100,115,TRUE,,,,,42.3474,-71.1582,anonymous,EN,25 - 34,Male,Computer Science/IT,,Graduate student,,On campus,,,Intermediate knowledge,"ChatGPT,Claude,Midjourney,DALL-E,Stable Diffusion,GitHub Copilot",,Occasionally (few times a week),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization",,Very interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Scheduling conflicts",,Hybrid (mix of online and in-person),1.5 hours,"Weekday mornings,Weekday afternoons","Yes, definitely",3-Feb,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,
4/11/25 16:06,4/11/25 18:22,100,8151,TRUE,,,,,42.3253,-71.0951,anonymous,EN,25 - 34,Male,"Computer Science/IT,Engineering",,Graduate student,,On campus,,,Intermediate knowledge,"ChatGPT,Claude,Stable Diffusion,GitHub Copilot,AI music generation tools",,Regularly (daily),"Programming/coding,Learning new topics",,Very interested,"Career advancement,Personal interest,Staying current with technology",,"Cost,Time constraints,Scheduling conflicts",,Hybrid (mix of online and in-person),2 hours,Weekend afternoons,"Yes, definitely",6 or more,Very interested,Very interested,Slightly interested,Very interested,Very interested,Very interested,Moderately interested,Extremely interested,Extremely interested,Extremely interested,AI Infrastructure for Devs
4/11/25 18:19,4/11/25 18:22,100,172,TRUE,,,,,45.0702,-93.4556,anonymous,EN,65 - 74,Female,Arts/Design,,Faculty,,Other U.S. location,Remote,,Some experience,"ChatGPT,Claude,Midjourney,DALL-E,AI music generation tools,AI video generation tools",,Extensively (multiple times daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Lack of prerequisites,Scheduling conflicts",,Online only,2 hours,"Weekday mornings,Weekend mornings,Weekend afternoons","Yes, definitely",6 or more,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,
4/11/25 18:43,4/11/25 18:50,100,363,TRUE,,,,,43.6327,-70.2735,anonymous,EN,18 - 24,Male,Computer Science/IT,,Graduate student,,Within Boston city limits,,,Advanced knowledge,"ChatGPT,AI video generation tools",,Extensively (multiple times daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Very interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Time constraints,Scheduling conflicts",,Hybrid (mix of online and in-person),1.5 hours,Weekend afternoons,Probably,3-Feb,Very interested,Very interested,Moderately interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Ai Full Stack Development
4/11/25 18:51,4/11/25 18:55,100,239,TRUE,,,,,42.2743,-71.0972,anonymous,EN,25 - 34,Female,Engineering,,Graduate student,,Within Boston city limits,,,Some experience,"ChatGPT,Claude,DALL-E,AI music generation tools,AI video generation tools",,Extensively (multiple times daily),"Programming/coding,Creative projects,Learning new topics",,Very interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,Cost,,Online only,1 hour,Weekday mornings,Unsure,5-Apr,Moderately interested,Moderately interested,Slightly interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,
4/11/25 19:10,4/11/25 19:15,100,284,TRUE,,,,,33.9955,-84.6581,anonymous,EN,45 - 54,Prefer not to say,"Arts/Design,Health Sciences,Social Sciences",,Faculty,,International,,,Some experience,"ChatGPT,Claude,GitHub Copilot,AI music generation tools,AI video generation tools",,Extensively (multiple times daily),"Academic research,Writing assistance,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology",,"Cost,Location/transportation,Lack of prerequisites",,Hybrid (mix of online and in-person),2.5+ hours,Weekday afternoons,"Yes, definitely", Unsure,Moderately interested,Very interested,Extremely interested,Slightly interested,Very interested,Slightly interested,Moderately interested,Very interested,Extremely interested,Slightly interested,
4/11/25 19:13,4/11/25 19:16,100,148,TRUE,,,,,40.918,-73.9619,anonymous,EN,25 - 34,Male,Engineering,,Graduate student,,Other U.S. location,New Jersey,,Advanced knowledge,"ChatGPT,Claude,DALL-E,GitHub Copilot,AI music generation tools,AI video generation tools,Other: [text entry]","Perplexity, Deepseek",Extensively (multiple times daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Time constraints,Location/transportation",,Online only,1.5 hours,"Weekend mornings,Weekend afternoons",Probably,3-Feb,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,
4/11/25 19:15,4/11/25 19:18,100,190,TRUE,,,,,42.3725,-71.1814,anonymous,EN,18 - 24,Female,"Computer Science/IT,Engineering",,Graduate student,,On campus,,,Some experience,"ChatGPT,Claude",,Occasionally (few times a week),"Academic research,Writing assistance,Programming/coding,Learning new topics",,Very interested,"Career advancement,Personal interest,Staying current with technology",,"Time constraints,Lack of prerequisites",,No preference,2 hours,Weekend afternoons,"Yes, definitely",6 or more,Very interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,
4/11/25 19:15,4/11/25 19:20,100,292,TRUE,,,,,42.3399,-71.1245,anonymous,EN,25 - 34,Male,"Computer Science/IT,Engineering",,Graduate student,,Within Boston city limits,,,Advanced knowledge,"ChatGPT,Claude,DALL-E,GitHub Copilot,AI music generation tools,AI video generation tools",,Extensively (multiple times daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics,Other: [text entry]","Fitness tips , AI based movie and songs recomendation",Extremely interested,"Academic requirements,Career advancement,Personal interest,Specific project needs",,"Lack of prerequisites,Scheduling conflicts",,Hybrid (mix of online and in-person),1.5 hours,"Weekday evenings,Weekend mornings,Weekend afternoons","Yes, definitely",6 or more,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Achieving Daily Habits and organising things daily
4/11/25 19:23,4/11/25 19:31,100,478,TRUE,,,,,42.2904,-71.0712,anonymous,EN,25 - 34,Male,Computer Science/IT,,Graduate student,,Within Boston city limits,,,Some experience,"ChatGPT,Claude",,Regularly (daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Staying current with technology",,"Cost,Scheduling conflicts",,Online only,1.5 hours,Weekday afternoons,"Yes, definitely",3-Feb,Very interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Slightly interested,Moderately interested,Very interested,Extremely interested,
4/11/25 19:37,4/11/25 19:40,100,200,TRUE,,,,,42.0774,-71.0446,anonymous,EN,18 - 24,,Computer Science/IT,,Graduate student,,On campus,,,Intermediate knowledge,"ChatGPT,DALL-E,Stable Diffusion,Other: [text entry]",supergrok,Extensively (multiple times daily),"Academic research,Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Scheduling conflicts",,Online only,2.5+ hours,"Weekday afternoons,Weekend afternoons","Yes, definitely",5-Apr,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Moderately interested,Moderately interested,Extremely interested,Extremely interested,building applications
4/11/25 19:42,4/11/25 19:45,100,230,TRUE,,,,,42.3253,-71.0951,anonymous,EN,35 - 44,Female,Computer Science/IT,,Graduate student,,Within Boston city limits,,,Intermediate knowledge,"ChatGPT,Claude,DALL-E,Other: [text entry]","DeepSeek,v0,Perplexity",Extensively (multiple times daily),"Writing assistance,Programming/coding,Creative projects,Personal organization,Professional work,Learning new topics",,Extremely interested,"Academic requirements,Career advancement,Personal interest,Staying current with technology,Specific project needs",,"Cost,Time constraints",,Online only,1.5 hours,"Weekday mornings,Weekend mornings","Yes, definitely",3-Feb,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,
4/11/25 19:44,4/11/25 19:47,100,174,TRUE,,,,,33.9371,-84.0785,anonymous,EN,25 - 34,Female,"Computer Science/IT,Humanities",,"Graduate student,Professional",,Other U.S. location,Atlanta,,Advanced knowledge,"ChatGPT,DALL-E,Stable Diffusion,AI video generation tools,Other: [text entry]","Gemini, Gamma, ChatPDF",Occasionally (few times a week),"Programming/coding,Creative projects,Learning new topics",,Extremely interested,"Career advancement,Personal interest,Staying current with technology",,"Cost,Time constraints,Location/transportation,Scheduling conflicts",,Online only,1 hour,Weekday evenings,Probably,5-Apr,Moderately interested,Slightly interested,Very interested,Moderately interested,Extremely interested,Moderately interested,Moderately interested,Slightly interested,Very interested,Extremely interested,Maybe AI for Creativity 
